Age,Gender,Country,Region,High School Science Score,Biology Score,Chemistry Score,Physics Score,Mathematics Score,Undergraduate Degree,Medical School Ranking,Institution Type,Medical Entrance Exam Score,Ability to diagnose & treat patients,"Doctor-patient interaction, explaining procedures",Hand-Eye Coordination,Empathy,Analytical Thinking,Years of Medical Education,Clinical Internship Experience (Months),Research Experience (Months),Medical Certifications,Specialization Courses,Interest in Surgery,Interest in Patient Care,Interest in Laboratory & Research,Interest in Emergency Medicine,Interest in Mental Health & Psychology,Preferred Work Environment,Comfort with Long Working Hours,Willingness to Work in Rural Areas,Teamwork Preference,Predicted Medical Career Role
57,Male,UK,Urban,65.31,76.24,92.58,65.56,61.54,BSc Biotech,Low Tier,Public,57.11,9,5,4,9,7,8,19,13,9,1,6,1,3,4,3,Research Lab,7,No,5,Dermatologist
44,Female,Australia,Rural,82.2,82.59,90.31,67.74,67.43,MBBS,Top Tier,Private,93.04,9,6,4,8,9,8,18,11,4,0,6,3,2,4,3,Clinic,1,No,6,Pediatrician
22,Female,Germany,Rural,80.38,70.27,78.29,63.78,88.27,MBBS,Mid Tier,Private,66.06,5,6,6,8,5,8,5,17,9,0,6,5,1,4,1,Research Lab,5,Yes,9,Surgeon
36,Male,Germany,Urban,74.26,73.15,60.78,70.73,97.31,BDS,Mid Tier,Public,92.22,7,6,3,5,9,6,13,18,9,2,4,5,3,1,4,Research Lab,8,Yes,1,General Physician
42,Male,UK,Rural,86.51,84.4,73.88,72.19,64.46,BSc Biotech,Mid Tier,Public,59.5,8,8,9,5,8,7,7,20,6,3,4,9,8,9,1,Clinic,1,No,6,General Physician
30,Female,Canada,Rural,63.81,96.34,77.4,73.37,69.32,BPharm,Mid Tier,Public,86.14,5,7,8,7,7,9,10,3,6,4,1,5,1,8,6,Hospital,1,No,8,Emergency Medicine Specialist
30,Female,UK,Urban,84.88,69.41,66.61,93.45,51.14,BSc Nursing,Mid Tier,Private,60.03,5,7,6,6,7,6,18,15,8,2,8,7,2,9,5,Research Lab,8,No,2,Emergency Medicine Specialist
31,Male,USA,Urban,68.47,87.1,66.44,90.62,75.22,BSc Biotech,Mid Tier,Public,67.11,6,8,4,5,8,14,0,13,4,3,7,8,8,6,6,Hospital,9,No,5,General Physician
47,Female,UK,Rural,65.16,80.96,66.68,79.84,54.41,BSc Nursing,Top Tier,Private,83.87,9,6,8,7,8,7,13,13,1,0,1,1,1,4,3,Research Lab,2,No,1,Pharmacist
56,Female,UK,Rural,96.38,64.18,74.82,77.77,54.28,BPharm,Mid Tier,Public,77.4,9,8,6,6,9,8,14,6,2,0,1,5,8,9,3,Clinic,9,No,3,Emergency Medicine Specialist
46,Male,Australia,Urban,78.39,82.62,92.7,75.12,88.07,BPharm,Low Tier,Public,63.34,8,7,6,7,9,10,6,21,5,1,5,6,8,3,5,Hospital,3,No,6,Medical Researcher
47,Male,Canada,Urban,90.54,88.35,90.37,60.54,67.2,BSc Nursing,Top Tier,Private,94.06,8,9,8,7,7,6,8,0,5,2,8,3,1,8,2,Hospital,3,No,9,Surgeon
32,Male,UK,Urban,63.56,83.93,60.4,96.79,96.78,BSc Nursing,Low Tier,Private,73.62,5,5,9,6,5,8,9,11,9,0,7,6,6,1,3,Hospital,7,No,8,Medical Researcher
59,Female,USA,Urban,62.3,64.18,60.39,71.66,85.8,BSc Nursing,Top Tier,Public,89.42,5,9,3,9,5,9,11,13,9,4,3,8,3,8,3,Hospital,6,Yes,4,General Physician
23,Male,Australia,Urban,79.79,94.18,63.11,93.68,64.74,BPharm,Mid Tier,Public,93.11,7,6,7,9,7,14,13,4,3,0,1,6,3,4,8,Research Lab,1,No,4,Psychiatrist
28,Male,Canada,Urban,72.62,61.64,78.66,89.63,84.09,BPharm,Top Tier,Private,72.5,6,9,8,7,8,7,2,0,5,1,2,3,9,7,2,Hospital,5,No,1,Medical Researcher
39,Male,Canada,Urban,60.2,69.44,95.56,64.58,93.28,BPharm,Mid Tier,Public,66.65,8,8,7,8,8,14,22,2,8,3,7,5,4,2,5,Pharma Industry,1,No,7,Medical Researcher
48,Female,India,Rural,67.33,84.63,67.29,72.53,71.8,BSc Biotech,Low Tier,Public,77.67,5,8,4,8,5,5,8,13,7,0,3,3,8,7,3,Clinic,2,No,7,Surgeon
55,Female,Germany,Rural,68.75,68.72,79.07,79.39,78.09,BSc Nursing,Mid Tier,Public,54.12,5,5,7,7,9,12,4,21,0,2,7,4,7,4,4,Hospital,4,Yes,7,Surgeon
48,Female,USA,Rural,71.54,64.07,61.63,70.49,60.87,BSc Biotech,Top Tier,Public,84.19,6,6,9,5,6,13,19,16,6,4,4,9,5,3,8,Clinic,4,Yes,4,Psychiatrist
38,Female,Germany,Rural,95.1,80.48,60.81,76.08,70.11,BDS,Low Tier,Public,87.72,8,7,4,5,8,9,10,1,8,2,2,2,9,6,3,Pharma Industry,1,Yes,3,Medical Researcher
45,Male,Australia,Rural,76.82,88.9,60.3,71.3,78.95,BPharm,Mid Tier,Public,55.31,9,5,9,8,9,10,16,5,1,4,4,2,7,1,4,Pharma Industry,1,No,4,Neurologist
46,Female,Australia,Urban,87.18,76.43,89.47,85.43,80.77,BSc Biotech,Mid Tier,Private,64.81,6,6,5,5,5,14,7,4,9,3,5,1,1,6,4,Pharma Industry,2,No,8,Psychiatrist
28,Female,USA,Rural,60.74,87.94,60.95,74.43,86,BPharm,Mid Tier,Private,88.35,8,7,3,7,5,7,0,13,1,4,5,9,1,6,6,Research Lab,2,Yes,8,Orthopedic Doctor
27,Male,Canada,Urban,92.56,94.43,70.95,73.85,97.87,MBBS,Top Tier,Private,65.82,6,5,8,5,9,14,11,10,6,0,6,5,4,3,3,Research Lab,3,No,1,Cardiologist
45,Female,UK,Urban,69.61,98.35,85.8,70.86,91.93,BSc Nursing,Mid Tier,Public,80.71,6,8,7,8,9,14,23,16,0,2,7,6,4,2,2,Clinic,8,No,4,Cardiologist
54,Female,USA,Urban,72.36,69.33,84.75,92.06,92.58,BPharm,Top Tier,Public,80.05,9,9,8,9,9,8,20,14,9,4,8,7,9,8,5,Pharma Industry,6,No,8,Surgeon
50,Female,Australia,Urban,61.81,84.21,62.21,85.84,77.88,BSc Nursing,Top Tier,Public,62.97,8,9,4,8,9,6,21,9,9,2,7,4,8,9,7,Clinic,5,No,5,Emergency Medicine Specialist
43,Male,Germany,Urban,76.39,70.67,70.27,88.84,57.21,BSc Biotech,Mid Tier,Public,88.29,7,5,3,9,5,10,18,15,4,0,3,5,6,8,5,Pharma Industry,5,Yes,2,Emergency Medicine Specialist
47,Female,USA,Rural,94.1,94.84,85.57,75.75,81.77,MBBS,Top Tier,Private,74.7,7,6,4,8,5,12,8,21,3,1,4,6,8,2,8,Hospital,4,No,2,Psychiatrist
49,Female,Canada,Urban,75.15,95.61,75.69,93.58,70.31,BSc Nursing,Top Tier,Private,56.01,5,6,9,5,8,11,23,0,0,0,3,8,7,3,3,Hospital,1,No,5,Pediatrician
42,Male,India,Rural,96.34,72.89,78.63,76.65,51.59,BDS,Mid Tier,Private,55.09,9,7,3,5,7,8,4,0,1,3,2,2,2,4,9,Research Lab,3,No,4,Dentist
28,Male,India,Urban,94.7,85.81,68.28,67.06,59.74,BPharm,Mid Tier,Public,95.87,9,5,9,8,6,13,2,4,7,1,8,8,5,4,2,Pharma Industry,9,Yes,4,Surgeon
38,Male,UK,Rural,62.48,95.51,61.51,80.43,87.95,BSc Nursing,Top Tier,Public,69.11,6,5,9,9,5,7,22,7,2,4,3,8,3,3,3,Clinic,8,No,1,Pediatrician
41,Female,UK,Urban,72.21,80.33,73.81,77.8,81.55,BDS,Top Tier,Public,77.7,8,6,6,7,6,11,0,1,7,3,3,8,3,8,1,Research Lab,4,No,8,Emergency Medicine Specialist
41,Female,Canada,Urban,96.42,88.82,87.32,63.67,98.92,BSc Nursing,Mid Tier,Public,82.04,7,9,8,5,5,8,23,5,5,1,5,1,1,6,3,Research Lab,6,Yes,9,Surgeon
43,Male,Germany,Urban,61.19,92.03,90.66,86.51,96.17,BSc Biotech,Mid Tier,Public,86.2,9,5,5,8,5,7,11,4,4,3,1,1,4,4,5,Pharma Industry,9,Yes,5,Pediatrician
49,Male,UK,Urban,90.63,94.88,83.7,92.48,79.71,BPharm,Low Tier,Public,70.66,7,5,8,7,9,11,16,6,4,2,7,3,1,2,1,Hospital,2,Yes,4,Cardiologist
28,Male,India,Urban,96.26,80.61,75.73,74.25,57.75,BPharm,Low Tier,Private,74.41,6,8,8,8,7,12,22,0,2,2,3,1,2,6,5,Hospital,6,Yes,9,Neurologist
22,Female,Canada,Urban,90.82,97.67,83.33,90.37,66.82,BDS,Top Tier,Public,86.53,7,7,5,5,7,6,19,19,5,2,7,9,2,7,4,Pharma Industry,9,No,6,Dentist
53,Male,Canada,Urban,89.75,85.16,88.2,83.43,61.65,MBBS,Mid Tier,Private,82.9,7,7,7,6,5,9,5,23,5,1,2,8,7,6,8,Hospital,6,No,3,Cardiologist
34,Female,Canada,Urban,93.73,66.07,90.21,70.92,73.53,MBBS,Mid Tier,Private,80.88,5,8,3,9,9,6,13,4,7,4,9,5,3,4,6,Research Lab,1,No,5,Orthopedic Doctor
51,Female,USA,Rural,86.63,84.5,63.78,73.76,90.03,BDS,Mid Tier,Public,69.4,5,6,3,9,8,10,3,10,3,1,5,8,6,8,3,Hospital,3,No,7,Emergency Medicine Specialist
44,Female,Germany,Urban,76.92,71.94,92.12,97.85,91.09,BSc Nursing,Top Tier,Public,98.29,9,6,8,5,7,13,12,4,2,3,8,2,1,2,3,Pharma Industry,9,No,7,Surgeon
40,Male,Germany,Urban,62.51,74.88,62.54,68.63,58.9,MBBS,Top Tier,Public,59.23,6,7,4,9,8,5,15,23,9,4,6,6,8,8,4,Research Lab,3,No,8,Emergency Medicine Specialist
53,Male,UK,Rural,91.52,92.35,94.82,66.08,77.45,BPharm,Top Tier,Public,55.83,8,5,6,8,7,5,6,22,5,2,3,8,9,6,7,Clinic,9,No,5,Cardiologist
51,Male,Germany,Urban,96.21,98.93,75.69,63.03,83.84,BDS,Mid Tier,Public,64.3,9,5,7,7,8,9,9,5,8,0,6,3,3,7,3,Clinic,3,No,7,Pharmacist
50,Male,Australia,Urban,80.46,94.79,81.88,95.02,69.83,BDS,Top Tier,Public,62.58,6,6,4,7,9,9,3,13,2,0,2,9,9,4,8,Clinic,7,No,9,Medical Researcher
50,Male,India,Urban,81.3,73.03,71.6,86.88,95.27,BPharm,Mid Tier,Public,98.04,8,6,4,7,5,13,14,15,7,2,3,4,3,4,4,Research Lab,3,No,1,Anesthesiologist
51,Female,UK,Urban,76.13,78.15,77.07,64.67,67.95,MBBS,Top Tier,Public,50.42,9,8,6,8,9,11,20,2,2,3,5,7,1,5,1,Hospital,7,No,2,Psychiatrist
37,Male,Germany,Urban,94.28,99.34,93.81,90.63,74.51,BSc Biotech,Low Tier,Public,94,7,9,7,8,9,10,10,17,4,1,1,3,3,9,4,Clinic,5,No,7,Emergency Medicine Specialist
40,Male,India,Urban,60.59,96.94,71.83,85.18,79.34,BDS,Mid Tier,Public,70.32,7,7,6,6,5,12,0,1,3,3,2,6,7,9,9,Hospital,3,No,7,Emergency Medicine Specialist
39,Male,UK,Urban,84.98,99.08,82.57,99.45,71.37,BSc Nursing,Top Tier,Private,78.37,7,8,6,9,5,7,3,16,5,2,7,8,8,2,9,Pharma Industry,6,No,2,Psychiatrist
22,Male,Australia,Rural,96.3,77.32,85.88,80.46,98.18,BDS,Top Tier,Public,84.68,8,7,9,7,6,5,12,18,6,2,9,2,5,1,8,Clinic,1,No,4,Surgeon
35,Female,India,Rural,64.13,92.02,65.86,80.66,88.02,BSc Biotech,Mid Tier,Public,52.25,7,9,4,5,9,14,0,1,2,1,9,2,3,8,6,Research Lab,9,No,4,Emergency Medicine Specialist
23,Male,Australia,Rural,98.37,94.85,91.11,69.97,91.45,BPharm,Top Tier,Private,75.88,9,9,6,8,8,10,2,0,7,2,7,1,8,9,3,Pharma Industry,7,No,4,Emergency Medicine Specialist
49,Male,India,Urban,98.71,61.77,99.96,67.64,87.63,MBBS,Top Tier,Private,51.98,5,8,4,5,7,14,19,19,3,0,5,1,5,6,7,Clinic,5,No,8,Emergency Medicine Specialist
51,Female,USA,Urban,97.19,70.64,66.2,89.34,79.41,BPharm,Top Tier,Public,54.92,6,5,4,8,5,8,10,16,6,4,9,9,4,3,7,Research Lab,7,Yes,9,Orthopedic Doctor
59,Male,USA,Urban,78.5,95.34,90.72,74.91,51.41,BPharm,Low Tier,Public,81.37,5,6,6,5,5,10,4,4,7,0,3,8,1,3,5,Research Lab,9,Yes,9,Cardiologist
25,Male,India,Urban,75.32,75.55,65.88,88.98,88.24,MBBS,Top Tier,Public,63.74,9,6,5,9,9,6,16,8,1,1,4,8,2,3,4,Hospital,3,Yes,4,Medical Researcher
22,Male,India,Urban,88.24,71.14,98.01,90.98,80.63,BPharm,Top Tier,Public,57.11,6,9,3,7,5,6,11,9,8,3,5,8,3,1,5,Hospital,4,No,7,General Physician
29,Male,Australia,Rural,72.75,70.91,76.44,96.13,54.04,BPharm,Top Tier,Public,52.48,6,5,8,9,7,13,21,12,8,3,6,8,9,3,4,Research Lab,8,No,6,Dermatologist
50,Male,Germany,Urban,62.73,75.02,99.2,77.1,55.93,BDS,Mid Tier,Public,90.2,6,5,6,5,7,13,13,3,9,0,5,2,9,9,7,Hospital,2,No,2,Emergency Medicine Specialist
24,Male,Canada,Urban,96.06,69.76,62.72,63.83,74.06,BSc Nursing,Top Tier,Public,81.66,8,9,3,8,9,12,9,3,1,4,7,6,8,7,3,Research Lab,6,Yes,5,Medical Researcher
53,Female,India,Urban,85.39,60.13,91.64,60.87,92.64,MBBS,Top Tier,Public,51.61,6,6,4,8,7,7,21,20,7,2,1,1,2,9,2,Pharma Industry,6,No,8,Emergency Medicine Specialist
31,Male,UK,Rural,68.29,66.9,78.94,71.68,77.69,BDS,Top Tier,Private,81.68,9,7,9,5,7,6,2,19,3,3,4,6,5,8,1,Hospital,2,Yes,6,Emergency Medicine Specialist
31,Female,UK,Urban,60.74,95.3,71.58,97.3,95.98,BSc Biotech,Top Tier,Public,55.16,6,9,3,8,8,14,12,16,9,2,2,6,4,7,7,Hospital,8,No,5,Radiologist
40,Female,UK,Urban,88.94,63.03,89.92,89.91,90.78,BDS,Low Tier,Private,66.37,6,5,5,8,7,7,3,16,5,4,8,8,5,8,1,Clinic,2,No,6,Emergency Medicine Specialist
55,Female,USA,Rural,94.11,76.52,85.41,82.37,81.54,BDS,Top Tier,Private,83,8,8,5,7,9,9,22,6,9,3,8,3,4,9,2,Hospital,2,No,9,Emergency Medicine Specialist
54,Male,Germany,Urban,76.23,78.26,96.12,69.58,65.67,BPharm,Top Tier,Public,64.24,7,9,3,7,5,9,11,11,8,0,5,8,7,9,4,Research Lab,6,Yes,6,General Physician
44,Male,Australia,Urban,63.24,91.13,69.95,88.51,92.64,BSc Nursing,Mid Tier,Public,87.91,8,6,4,9,9,7,7,4,8,4,9,7,5,9,4,Research Lab,7,No,5,Emergency Medicine Specialist
49,Female,Germany,Rural,85.94,70.1,97.59,89.63,82.96,BDS,Top Tier,Private,75.93,8,9,8,6,7,9,8,21,5,4,8,4,8,6,6,Hospital,6,No,3,Surgeon
53,Female,USA,Rural,71.88,72.39,85.67,69.22,77.64,BSc Biotech,Low Tier,Private,62.46,7,8,8,8,9,11,18,14,7,3,8,2,9,2,5,Hospital,9,No,5,Surgeon
28,Female,Germany,Urban,65.76,60.57,78.02,88.33,75.03,BPharm,Low Tier,Public,77.83,8,6,7,6,6,9,3,0,5,3,1,3,4,6,3,Clinic,1,Yes,5,Psychiatrist
50,Male,Germany,Urban,80.42,96.11,62.13,64.81,60.64,BDS,Mid Tier,Private,51.71,5,7,8,8,5,14,2,12,5,3,1,4,8,1,8,Pharma Industry,8,No,7,Psychiatrist
29,Female,UK,Urban,79.27,87.42,90.61,64.07,50.79,BSc Biotech,Low Tier,Public,71.95,9,5,3,6,7,12,4,1,3,2,3,1,4,5,8,Pharma Industry,5,Yes,5,Cardiologist
22,Male,India,Urban,80.67,70.51,94.34,62.21,85.83,MBBS,Top Tier,Private,66.28,8,5,6,7,8,14,4,5,8,0,6,6,8,4,4,Research Lab,1,No,1,Medical Researcher
24,Male,UK,Urban,92.96,95.5,92.38,92.41,95.98,BDS,Top Tier,Public,70.93,7,5,5,5,7,14,12,1,2,2,9,3,7,7,5,Hospital,7,No,6,Cardiologist
45,Male,Germany,Rural,79.38,63.46,89.43,70.82,59.18,MBBS,Low Tier,Private,80.56,5,9,6,9,6,9,17,15,0,3,1,8,8,4,1,Research Lab,9,Yes,9,General Physician
44,Male,India,Urban,96.02,74.74,98.78,84.17,96.74,MBBS,Mid Tier,Private,71.19,5,5,4,9,9,10,17,15,7,0,7,5,7,8,4,Pharma Industry,7,No,6,Emergency Medicine Specialist
29,Male,Australia,Urban,93.67,82.54,93.96,65.78,53.6,BSc Biotech,Mid Tier,Public,77.72,7,7,8,7,7,13,22,20,1,4,4,8,3,6,3,Clinic,9,No,2,General Physician
58,Female,Canada,Urban,86.04,80.22,97.12,77.7,77.62,BPharm,Top Tier,Public,55.57,9,9,7,9,8,12,5,9,5,1,2,2,4,3,1,Research Lab,2,Yes,3,Radiologist
24,Female,India,Urban,62.27,86.2,89.22,61.11,55.78,BSc Nursing,Mid Tier,Public,65.49,8,7,9,7,7,10,0,10,6,3,9,4,7,2,8,Clinic,8,Yes,1,Surgeon
54,Female,USA,Urban,94.6,71.9,92.81,94.4,94.46,BSc Nursing,Top Tier,Private,71.13,6,6,9,5,5,8,10,2,3,1,2,8,7,3,4,Hospital,1,No,4,Anesthesiologist
49,Male,UK,Urban,96.22,90.31,71.57,81.59,55.16,BDS,Top Tier,Public,52.68,7,7,9,9,7,14,3,6,3,4,2,2,2,7,7,Hospital,5,Yes,4,Psychiatrist
29,Female,UK,Rural,75,76.22,86.76,95.62,62.55,BSc Biotech,Mid Tier,Private,97.42,8,5,4,8,8,10,10,6,3,1,7,1,9,9,9,Research Lab,4,No,5,Psychiatrist
55,Male,Germany,Urban,81.05,65.01,68.22,78.71,90.3,MBBS,Top Tier,Private,95.3,9,8,9,9,9,13,6,4,7,2,4,2,3,7,3,Pharma Industry,5,No,4,Orthopedic Doctor
56,Male,Germany,Urban,71.24,89.62,62.77,72.65,84.42,BDS,Mid Tier,Public,66.66,5,7,9,6,9,7,4,9,3,2,3,8,1,8,8,Research Lab,1,No,6,Emergency Medicine Specialist
53,Male,Germany,Urban,60.59,96.48,83.17,76.03,69.41,BPharm,Top Tier,Public,81.37,8,9,7,9,5,12,7,12,2,3,7,2,1,3,5,Hospital,6,No,2,Cardiologist
45,Male,Germany,Urban,79.18,74.58,91.32,69.75,91.84,BSc Nursing,Mid Tier,Private,73.68,9,7,5,6,9,5,13,22,5,2,9,1,7,2,4,Clinic,8,No,6,Pediatrician
35,Male,UK,Urban,65.17,83.59,63.31,95.42,81.78,BSc Nursing,Low Tier,Public,78.13,8,7,6,8,7,11,9,1,6,1,8,9,2,1,6,Research Lab,1,Yes,2,Radiologist
53,Male,India,Rural,67.33,87.51,67.25,71.82,62.99,MBBS,Mid Tier,Private,56.08,9,7,5,6,9,8,21,20,3,2,6,4,3,6,1,Hospital,3,Yes,7,Surgeon
37,Female,Australia,Rural,79.23,93.26,63.72,71.69,87.01,BDS,Top Tier,Private,77.13,6,7,8,8,9,7,23,15,7,2,7,4,6,5,5,Research Lab,4,No,6,Pediatrician
25,Female,India,Urban,94.68,67.92,85.37,85.26,66.65,BDS,Mid Tier,Public,62.68,9,8,4,5,8,14,20,0,2,3,1,5,3,5,4,Clinic,3,No,9,Cardiologist
58,Male,USA,Rural,93.79,82.8,63.18,64.91,90.79,BSc Nursing,Low Tier,Public,80.55,8,8,3,9,9,9,1,18,0,3,8,8,8,5,3,Clinic,8,No,3,General Physician
42,Female,UK,Urban,98.6,89.61,63.73,68.77,89.08,BPharm,Top Tier,Public,88.38,9,9,9,6,7,11,5,19,5,3,6,9,6,8,6,Hospital,2,No,3,General Physician
35,Female,India,Urban,79.31,67.97,70.57,77.2,65.43,BSc Biotech,Mid Tier,Public,95.1,5,5,7,5,8,9,23,20,1,1,1,1,1,4,7,Hospital,4,No,4,Orthopedic Doctor
52,Female,UK,Urban,82.08,78.9,70.81,67.3,55.18,MBBS,Top Tier,Private,51.68,5,8,3,5,6,13,1,16,3,3,1,3,6,5,7,Research Lab,3,No,9,Surgeon
39,Female,USA,Urban,92.88,78.57,82.3,70.29,91.04,BSc Nursing,Mid Tier,Private,76.18,7,6,5,6,9,11,12,8,0,1,7,7,4,8,6,Pharma Industry,2,No,8,Emergency Medicine Specialist
28,Male,Canada,Urban,87.99,93.57,61.29,88,68.22,BSc Nursing,Top Tier,Public,70.41,5,7,7,9,9,12,0,9,2,1,1,1,8,2,4,Clinic,7,Yes,6,Medical Researcher
31,Female,Canada,Urban,67.31,91.09,84.61,71.19,66.27,BDS,Top Tier,Public,61.24,5,7,4,7,8,8,8,14,5,3,9,1,7,7,8,Hospital,1,No,1,Pediatrician
28,Female,Canada,Urban,75.93,69.28,76.47,85.49,50.91,MBBS,Top Tier,Public,63.2,9,9,4,5,7,13,21,13,4,3,1,5,1,3,5,Pharma Industry,5,Yes,5,Surgeon
54,Female,UK,Urban,97.17,69.32,67.15,79.78,86.29,BSc Nursing,Top Tier,Private,91.17,8,8,6,5,6,9,15,9,2,4,3,7,6,3,9,Hospital,8,No,3,Emergency Medicine Specialist
44,Female,India,Urban,65.85,88.93,86.13,90.7,63.7,BSc Nursing,Low Tier,Public,86.88,7,6,4,6,6,9,18,1,0,1,3,3,2,6,5,Clinic,2,Yes,6,Cardiologist
42,Female,UK,Urban,68.37,89.58,73.19,90.03,71.79,BSc Nursing,Mid Tier,Private,95.16,8,7,5,8,9,7,7,18,0,3,4,4,4,9,7,Pharma Industry,8,No,1,Emergency Medicine Specialist
40,Female,Australia,Rural,76.03,67.16,93.1,67.9,94.99,MBBS,Mid Tier,Public,89.24,6,5,6,8,8,11,11,2,0,1,3,6,7,9,5,Research Lab,3,Yes,2,Emergency Medicine Specialist
40,Male,India,Urban,97.59,76.45,99.58,97.73,56.27,BSc Nursing,Mid Tier,Private,52.84,5,6,6,7,9,11,20,14,1,3,9,7,4,9,6,Clinic,4,No,1,Emergency Medicine Specialist
57,Male,USA,Urban,64.55,93.03,91.16,92.09,51.9,BSc Nursing,Mid Tier,Private,55.58,8,7,9,7,5,10,8,15,6,4,5,9,1,3,4,Clinic,4,No,4,Cardiologist
50,Male,Germany,Urban,86.92,63.18,89.72,81.3,78.03,BDS,Top Tier,Public,83.96,7,7,9,9,9,8,9,16,3,2,9,4,7,9,5,Pharma Industry,7,No,3,Surgeon
39,Male,Canada,Rural,65.28,74.96,74.21,82.39,84.99,BPharm,Mid Tier,Public,82.93,6,9,9,7,5,11,3,15,7,1,6,6,4,4,4,Clinic,9,Yes,6,Psychiatrist
23,Male,India,Urban,80.98,85.78,81.38,93.15,76.41,BSc Biotech,Top Tier,Public,94.61,9,5,9,8,5,7,8,3,0,4,4,8,3,1,2,Hospital,8,No,6,Cardiologist
22,Female,India,Rural,81.46,90.84,62.11,79.37,66.98,MBBS,Top Tier,Public,76.34,9,9,5,8,8,7,16,4,2,0,2,7,1,2,4,Research Lab,2,No,8,Orthopedic Doctor
26,Female,Canada,Urban,61.71,86.11,89.09,79.14,68.07,BSc Biotech,Top Tier,Public,78.8,8,9,5,9,5,9,3,17,5,4,6,6,4,5,2,Clinic,3,Yes,4,Cardiologist
41,Female,USA,Rural,98.16,75.9,87,85.21,57.48,BSc Nursing,Mid Tier,Private,76.12,9,8,9,6,6,14,14,0,2,0,6,3,9,7,7,Clinic,8,No,6,Orthopedic Doctor
32,Female,UK,Urban,92.26,99.68,70.77,63.53,65.59,BPharm,Low Tier,Public,83.97,7,6,9,5,6,14,1,0,6,1,6,9,8,5,2,Pharma Industry,3,No,3,Medical Researcher
23,Female,UK,Urban,72.11,61.66,81.37,83.29,87.94,BDS,Low Tier,Public,69.76,5,8,4,6,7,13,0,21,1,4,5,9,3,8,8,Pharma Industry,2,No,7,General Physician
24,Female,Germany,Urban,65.22,79.79,87.17,68.96,74.96,BDS,Mid Tier,Public,80.68,9,5,4,9,8,5,3,21,0,0,8,4,3,8,2,Hospital,2,No,9,Emergency Medicine Specialist
44,Female,India,Urban,73.83,80.4,74.72,64.67,94.54,MBBS,Top Tier,Private,74.54,8,9,7,6,5,7,23,14,1,0,8,1,7,1,3,Pharma Industry,4,No,5,Neurologist
33,Female,Canada,Urban,95.77,69.59,89.02,92.62,58.4,BPharm,Top Tier,Public,97.3,8,8,6,8,9,10,9,21,7,0,4,8,2,4,7,Pharma Industry,8,No,6,General Physician
41,Male,Australia,Urban,65.31,82.35,91.87,75.27,72.12,MBBS,Mid Tier,Private,70.97,9,5,4,9,8,6,5,9,8,4,4,6,3,6,2,Research Lab,7,No,1,Emergency Medicine Specialist
26,Male,USA,Urban,73.97,68.8,68.94,80.11,85.08,BDS,Top Tier,Public,56.4,7,6,6,9,5,7,8,21,3,3,1,9,3,3,9,Hospital,2,No,3,Psychiatrist
58,Male,UK,Urban,79.77,77.74,72.05,71.74,63.61,BSc Nursing,Top Tier,Private,91.12,8,5,6,7,5,12,3,6,6,0,9,4,6,3,5,Research Lab,9,No,1,Dentist
59,Female,USA,Rural,61.32,77.27,76.06,61.24,63.34,MBBS,Mid Tier,Public,75.21,8,8,3,6,6,10,17,7,1,4,8,7,6,1,8,Research Lab,3,No,3,Neurologist
51,Female,USA,Rural,70.72,90.92,69.43,77.7,55.28,BPharm,Low Tier,Private,58.03,8,7,7,8,8,9,12,8,7,2,7,5,4,1,2,Clinic,6,No,6,Radiologist
30,Male,Germany,Urban,83.83,97.7,91.02,90.01,94.65,MBBS,Top Tier,Private,96.39,9,7,3,5,5,10,0,9,0,2,4,9,2,2,8,Research Lab,3,Yes,1,Cardiologist
55,Male,USA,Urban,72.96,68.11,82.87,90.33,58.63,BDS,Mid Tier,Public,56.1,6,6,8,8,7,14,19,8,5,3,7,2,5,1,2,Pharma Industry,2,No,4,Radiologist
56,Female,Canada,Urban,94.82,99.66,75.2,96.88,98.51,MBBS,Top Tier,Public,53.42,9,6,7,5,8,9,23,4,6,3,1,5,6,9,2,Pharma Industry,9,No,1,Emergency Medicine Specialist
43,Female,Germany,Rural,97.47,97.61,60.64,93.62,72.44,BSc Nursing,Mid Tier,Private,63.38,5,5,3,7,8,14,23,11,9,3,8,7,4,9,3,Research Lab,3,No,2,Emergency Medicine Specialist
45,Male,Canada,Rural,77.66,64.51,73.03,99.29,99.09,BDS,Mid Tier,Public,82.74,8,6,8,6,5,14,21,17,9,2,3,7,8,6,7,Hospital,6,No,4,Anesthesiologist
38,Female,Germany,Rural,81.28,96.49,93.46,82.87,52.02,MBBS,Mid Tier,Public,55.6,6,9,3,8,8,5,9,11,1,2,7,5,6,3,1,Clinic,5,No,6,Orthopedic Doctor
31,Female,Canada,Urban,85.23,82.58,89.74,62.04,78.35,BSc Biotech,Mid Tier,Public,98.38,8,9,6,5,6,14,9,1,3,1,1,5,2,3,7,Research Lab,7,No,3,Psychiatrist
51,Female,Germany,Rural,86.58,95.16,62.7,94.54,84.54,BSc Biotech,Mid Tier,Private,76.75,9,9,6,7,6,5,5,8,0,0,5,7,8,1,1,Pharma Industry,2,Yes,7,Pharmacist
44,Male,Germany,Rural,62.53,97.83,92.06,98.08,75.82,BDS,Top Tier,Private,78.69,8,9,3,8,9,10,12,5,1,3,8,1,1,4,4,Pharma Industry,3,No,7,Cardiologist
