Creativity Score,Adobe Photoshop Proficiency,Adobe Illustrator Proficiency,Adobe After Effects Proficiency,3D Modeling Skill,UI/UX Knowledge,Video Editing Skill,Game Design Knowledge,Sketching/Drawing Skill,Typography Skill,Color Theory Knowledge,Branding Knowledge,Web Development Knowledge,Fashion Design Knowledge,Interior Design Knowledge,Product Design Knowledge,Illustration Skill,Animation Skill,Years of Experience,Preferred Design Style,Career Role
9,3,4,8,8,3,7,1,2,4,5,3,2,3,3,4,4,9,3,Minimalist,Animator
7,4,4,9,4,6,9,3,5,4,3,4,1,2,1,4,4,9,5,Futuristic,Motion Graphics Designer
4,7,7,6,5,3,2,5,8,6,8,4,2,9,3,1,3,4,4,Classic,Fashion Designer
6,9,6,6,1,7,2,5,4,4,6,3,9,3,3,4,4,4,3,Abstract,Web Designer
7,7,7,5,5,6,2,1,5,7,7,9,2,3,3,4,3,3,1,Classic,Branding & Identity Designer
8,4,4,3,3,2,5,5,7,4,8,4,3,9,2,3,5,3,8,Cartoon,Fashion Designer
4,5,7,3,1,6,5,3,3,5,6,3,4,2,1,7,5,3,2,Minimalist,Product Designer
4,4,5,3,5,3,5,4,4,5,5,4,1,2,1,3,4,5,9,Minimalist,Packaging Designer
7,9,9,3,2,4,2,3,3,7,9,3,2,1,1,1,3,3,10,Realistic,Graphic Designer
8,3,6,8,4,5,8,1,2,6,4,4,4,2,2,2,3,5,5,Futuristic,Video Editor
6,5,4,8,9,2,8,3,2,3,4,6,3,1,2,3,3,7,1,Modern,Animator
9,5,7,4,3,6,5,2,9,6,8,5,1,3,2,4,7,3,3,Modern,Illustration Artist
6,6,3,2,5,5,2,3,5,6,6,3,3,3,8,2,3,4,5,Cartoon,Interior Designer
8,3,3,2,5,7,3,2,3,5,4,5,9,2,2,2,5,5,1,Futuristic,UX/UI Designer
7,3,6,9,2,5,8,4,2,5,4,3,3,1,1,1,3,7,8,Abstract,Motion Graphics Designer
7,3,5,7,5,3,9,5,3,3,3,3,1,2,3,1,3,9,9,Minimalist,Motion Graphics Designer
6,9,7,5,1,3,3,3,3,7,9,6,2,2,2,2,3,4,6,Abstract,Graphic Designer
7,4,4,6,9,4,5,5,8,6,5,5,3,1,3,1,8,3,8,Classic,Concept Artist
8,8,7,3,2,4,5,3,2,8,8,8,3,1,1,4,3,5,10,Modern,Branding & Identity Designer
4,5,5,2,2,4,3,2,7,6,9,2,4,7,3,3,4,3,7,Minimalist,Fashion Designer
5,7,3,5,3,7,5,5,5,3,4,4,7,2,3,3,4,2,4,Futuristic,UX/UI Designer
7,3,4,6,3,5,3,5,3,3,4,4,1,2,1,4,3,2,6,Cartoon,Packaging Designer
7,4,7,4,1,5,4,2,2,5,4,6,4,1,2,9,3,3,1,Modern,Product Designer
8,9,7,5,4,5,3,2,3,9,8,5,1,2,1,3,4,3,2,Classic,Graphic Designer
8,3,5,3,3,5,2,5,5,6,5,3,1,2,7,2,3,3,1,Modern,Interior Designer
6,7,3,7,2,6,9,2,3,3,6,6,3,2,2,4,5,5,9,Classic,Video Editor
7,5,4,9,8,6,8,1,2,3,6,5,2,1,3,2,4,8,4,Realistic,Animator
7,7,6,5,9,4,5,5,8,4,6,2,2,1,3,1,8,3,2,Minimalist,Concept Artist
6,7,3,3,5,2,4,3,5,6,6,2,3,3,3,8,3,2,4,Realistic,Product Designer
5,6,3,8,3,2,9,5,4,3,6,2,1,1,3,2,3,2,8,Modern,Video Editor
6,5,4,3,8,5,3,5,9,6,4,3,2,1,1,4,7,4,6,Abstract,Concept Artist
7,6,5,4,1,3,4,4,2,5,5,8,1,2,2,4,4,4,3,Classic,Art Director
7,7,5,6,4,8,5,3,5,3,6,5,9,3,3,2,5,5,7,Modern,UX/UI Designer
5,4,5,5,9,4,2,8,4,5,5,3,2,2,3,2,5,5,4,Minimalist,Game Designer
5,4,5,3,4,4,5,4,4,5,3,3,1,3,7,1,4,2,3,Modern,Interior Designer
8,3,4,3,3,5,2,5,2,6,6,5,3,2,7,4,4,4,1,Futuristic,Interior Designer
7,4,5,2,2,6,4,5,2,5,6,5,4,3,7,2,4,3,3,Modern,Interior Designer
6,8,9,5,5,2,5,3,3,8,7,4,2,2,3,3,4,4,7,Cartoon,Graphic Designer
7,8,7,3,1,8,5,4,3,6,3,3,7,3,1,2,3,3,7,Cartoon,Web Designer
4,9,7,3,5,6,4,3,3,7,9,5,2,2,3,1,5,5,10,Classic,Graphic Designer
8,3,4,4,8,4,3,2,7,6,6,2,2,2,2,1,9,2,2,Realistic,Concept Artist
6,7,3,9,1,4,8,2,2,4,3,2,2,3,2,4,5,7,7,Classic,Motion Graphics Designer
4,7,9,5,5,5,2,3,2,9,9,6,3,1,1,1,4,2,7,Realistic,Graphic Designer
6,9,8,4,1,2,4,5,5,9,8,9,4,2,1,1,3,5,4,Minimalist,Branding & Identity Designer
6,4,6,6,7,3,4,7,4,3,3,4,3,3,2,2,3,2,8,Abstract,Game Designer
6,6,9,5,1,3,2,2,9,3,9,5,4,2,1,1,8,5,7,Classic,Illustration Artist
6,3,6,6,2,2,2,3,2,4,6,7,1,1,3,1,5,4,8,Minimalist,Art Director
6,7,8,3,2,2,5,3,2,9,9,9,3,2,2,2,5,3,8,Modern,Branding & Identity Designer
8,4,9,3,2,3,4,4,9,3,8,2,3,3,3,2,8,3,2,Futuristic,Illustration Artist
4,6,5,5,9,3,5,7,2,5,3,4,3,3,3,2,3,3,2,Abstract,Game Designer
7,8,9,4,1,3,4,1,2,8,7,5,4,1,3,1,3,3,3,Realistic,Graphic Designer
4,4,6,3,2,6,4,3,5,4,6,4,1,2,9,3,4,4,1,Realistic,Interior Designer
6,8,6,3,2,7,5,5,2,4,4,2,8,2,1,4,3,5,6,Classic,Web Designer
8,3,7,7,7,6,8,2,3,4,5,4,1,3,3,2,5,7,2,Futuristic,Animator
5,7,7,4,5,6,3,3,4,9,9,8,3,3,1,3,3,3,3,Classic,Branding & Identity Designer
4,7,3,2,2,5,2,2,8,3,7,3,3,8,3,4,5,4,9,Classic,Fashion Designer
5,6,4,4,3,3,5,4,8,6,7,4,3,9,1,3,4,4,2,Classic,Fashion Designer
9,7,3,8,9,2,9,4,5,6,3,3,2,2,1,3,4,9,7,Futuristic,Animator
9,4,3,8,8,2,9,1,2,6,6,5,1,1,1,3,5,8,6,Minimalist,Animator
8,6,7,3,5,6,5,1,7,3,9,2,2,3,2,1,8,5,5,Futuristic,Illustration Artist
7,6,4,5,5,5,5,2,9,6,8,5,4,8,3,3,4,5,9,Minimalist,Fashion Designer
4,5,6,7,4,2,8,3,3,3,6,6,2,3,2,2,5,7,8,Abstract,Motion Graphics Designer
4,8,7,4,1,2,3,1,2,8,7,2,3,1,1,3,5,3,6,Futuristic,Graphic Designer
4,7,4,8,1,4,8,3,4,5,3,4,3,3,3,4,5,4,2,Minimalist,Video Editor
6,5,6,5,7,3,4,7,4,5,6,4,4,1,3,1,5,5,5,Realistic,Game Designer
7,4,4,3,4,3,2,4,5,4,5,2,4,3,9,2,3,4,6,Cartoon,Interior Designer
8,7,7,6,3,9,2,2,3,3,3,6,7,3,3,1,3,5,7,Modern,Web Designer
8,6,6,4,3,3,4,2,9,3,9,4,4,9,2,3,5,3,1,Realistic,Fashion Designer
5,8,9,3,3,4,5,3,3,8,9,2,1,2,3,3,4,5,9,Futuristic,Graphic Designer
5,5,4,6,2,4,2,4,3,4,5,8,1,1,3,3,5,5,9,Abstract,Art Director
8,7,4,9,4,6,8,4,4,5,3,3,4,3,3,2,4,9,5,Realistic,Motion Graphics Designer
7,9,5,6,2,9,3,4,5,6,6,5,9,3,3,1,5,5,6,Futuristic,Web Designer
5,7,9,5,3,2,2,3,4,8,8,5,4,2,2,1,4,2,2,Futuristic,Graphic Designer
5,7,4,2,5,2,4,4,3,5,3,7,4,2,3,4,4,4,7,Realistic,Art Director
6,4,3,8,4,5,9,2,2,4,3,3,4,3,1,2,5,7,1,Minimalist,Motion Graphics Designer
7,9,8,3,4,5,5,4,4,8,8,7,1,2,2,2,3,5,2,Realistic,Branding & Identity Designer
6,7,6,6,7,3,5,2,9,6,4,2,4,3,1,3,7,3,6,Cartoon,Concept Artist
7,5,8,4,5,3,2,2,7,5,8,4,3,1,2,4,9,2,1,Cartoon,Illustration Artist
4,3,6,3,1,5,2,4,5,3,4,6,1,1,1,2,5,3,8,Cartoon,Packaging Designer
7,3,3,5,8,4,2,9,5,5,3,6,4,2,2,4,3,3,4,Abstract,Game Designer
4,3,5,6,5,5,5,5,7,5,7,5,1,8,1,2,3,3,4,Classic,Fashion Designer
8,3,6,2,4,6,2,1,9,3,9,5,3,7,2,2,3,4,8,Realistic,Fashion Designer
5,3,7,4,2,6,3,4,2,3,6,6,3,3,3,4,4,4,3,Futuristic,Packaging Designer
7,4,4,5,2,4,5,3,3,6,5,2,3,1,8,2,5,3,3,Realistic,Interior Designer
6,7,7,5,1,5,5,2,4,9,9,9,4,3,3,1,4,3,7,Minimalist,Branding & Identity Designer
6,7,7,5,1,3,2,5,7,4,9,4,2,2,3,1,9,2,5,Cartoon,Illustration Artist
6,6,5,3,3,7,3,3,4,6,5,2,8,1,2,3,4,3,9,Cartoon,UX/UI Designer
5,4,5,4,5,4,3,1,4,5,5,6,4,1,2,9,5,2,3,Futuristic,Product Designer
7,3,4,9,8,5,9,4,4,5,6,2,2,2,1,3,5,7,1,Modern,Animator
6,6,7,8,5,3,8,1,4,4,4,6,4,2,1,1,5,8,7,Realistic,Motion Graphics Designer
4,7,7,2,4,8,2,5,3,5,3,5,9,3,3,3,5,4,2,Minimalist,UX/UI Designer
5,6,4,4,9,5,5,7,3,5,4,3,4,2,1,3,4,4,2,Classic,Game Designer
8,5,7,9,1,2,9,3,2,5,4,5,3,2,2,2,3,8,9,Realistic,Motion Graphics Designer
5,5,4,4,5,5,4,1,8,5,9,3,2,8,2,4,5,3,2,Modern,Fashion Designer
9,5,7,4,1,3,5,3,8,5,7,5,4,2,3,2,9,2,3,Cartoon,Illustration Artist
8,3,6,9,9,5,9,1,3,4,5,4,4,3,3,1,3,8,9,Classic,Animator
4,3,6,5,4,4,5,3,9,6,8,3,2,8,2,2,4,5,4,Realistic,Fashion Designer
8,6,7,5,2,2,3,5,7,4,7,2,4,9,2,4,4,2,3,Minimalist,Fashion Designer
7,4,9,2,5,5,5,2,7,4,9,2,2,3,3,2,9,2,10,Futuristic,Illustration Artist
8,5,5,4,5,3,5,1,5,3,6,4,2,2,3,4,3,5,8,Realistic,Packaging Designer
7,7,3,4,2,2,4,1,2,5,4,6,3,1,2,7,4,2,4,Cartoon,Product Designer
4,5,3,8,2,5,8,5,5,6,5,2,1,2,2,1,5,7,5,Classic,Motion Graphics Designer
5,7,7,6,2,2,4,3,5,7,8,7,1,2,1,2,3,5,10,Minimalist,Branding & Identity Designer
4,5,4,5,2,8,2,5,3,6,3,3,9,2,2,1,4,3,7,Classic,UX/UI Designer
8,3,5,5,4,3,4,1,4,6,3,9,2,2,1,4,5,2,6,Cartoon,Art Director
4,4,3,4,8,5,2,8,4,4,5,3,4,3,2,3,3,2,3,Modern,Game Designer
4,8,7,4,2,4,4,1,5,8,9,7,3,1,2,4,4,3,2,Classic,Branding & Identity Designer
7,5,3,3,1,6,5,5,3,5,5,9,2,1,3,2,4,4,4,Abstract,Art Director
6,8,9,2,2,5,2,2,5,9,8,2,4,1,3,1,3,4,8,Abstract,Graphic Designer
5,9,4,2,5,7,5,5,2,4,4,3,9,1,1,4,3,5,4,Modern,Web Designer
6,5,7,4,5,3,5,5,4,3,5,9,2,1,2,4,3,2,6,Futuristic,Art Director
6,3,6,3,2,2,2,3,8,6,8,2,1,7,2,4,4,5,8,Minimalist,Fashion Designer
8,6,6,9,9,2,8,3,4,4,3,2,2,2,2,4,4,7,7,Minimalist,Animator
5,6,6,7,2,6,7,5,5,4,3,3,2,1,3,1,5,2,9,Futuristic,Video Editor
5,6,4,3,4,3,4,4,3,5,3,9,2,3,1,3,4,2,4,Realistic,Art Director
4,5,6,2,7,2,3,7,5,5,5,2,3,1,3,1,3,5,6,Cartoon,Game Designer
6,7,4,5,1,6,2,1,2,5,3,6,3,2,3,8,4,4,10,Minimalist,Product Designer
8,6,5,3,5,3,5,3,5,3,6,2,2,1,2,9,5,5,9,Abstract,Product Designer
6,3,4,5,3,5,2,1,2,6,5,9,2,2,2,2,4,3,8,Cartoon,Art Director
4,4,5,3,7,6,4,8,2,3,4,5,3,3,3,1,4,5,1,Realistic,Game Designer
4,6,7,3,1,6,4,1,8,6,7,5,2,8,3,3,3,5,1,Futuristic,Fashion Designer
8,4,4,3,1,7,2,1,4,5,6,4,7,3,3,1,5,2,9,Modern,UX/UI Designer
6,4,3,9,9,6,8,3,3,6,6,3,4,1,2,2,4,7,6,Modern,Animator
6,3,6,5,8,5,3,7,5,5,3,6,4,1,1,1,5,5,2,Cartoon,Game Designer
6,6,4,3,8,5,3,8,4,4,3,4,3,2,1,1,4,3,1,Classic,Game Designer
6,6,6,9,3,6,9,1,5,4,4,2,1,2,1,2,4,8,4,Abstract,Motion Graphics Designer
7,4,4,4,3,8,4,1,2,4,5,2,7,1,1,3,3,2,4,Minimalist,UX/UI Designer
9,3,8,6,1,6,2,4,7,4,9,4,2,2,3,1,9,3,1,Abstract,Illustration Artist
6,7,7,3,2,5,5,4,9,3,7,5,1,8,1,2,3,3,6,Modern,Fashion Designer
9,4,5,2,7,5,3,1,8,4,5,6,3,3,3,4,9,3,5,Modern,Concept Artist
4,7,4,2,3,8,3,4,5,6,5,6,7,3,3,4,4,3,9,Realistic,UX/UI Designer
7,8,8,6,5,6,5,1,2,9,7,7,1,3,1,3,4,4,9,Realistic,Branding & Identity Designer
7,7,9,5,4,5,5,4,8,3,8,4,1,1,2,3,8,5,1,Cartoon,Illustration Artist
7,6,6,7,5,6,7,3,2,5,4,6,1,3,2,1,3,4,4,Modern,Video Editor
5,6,5,8,4,4,7,5,2,3,3,4,2,3,1,1,5,9,6,Classic,Motion Graphics Designer
4,5,4,6,5,2,5,3,2,3,4,4,2,3,1,4,4,5,8,Cartoon,Packaging Designer
6,6,3,7,5,5,8,3,2,5,6,6,1,3,2,3,4,4,10,Minimalist,Video Editor
7,4,4,7,8,3,7,1,3,4,4,5,2,1,2,1,5,7,1,Futuristic,Animator
4,6,6,2,1,7,4,5,5,6,6,3,9,3,1,1,5,3,4,Cartoon,UX/UI Designer
6,4,6,7,9,4,7,2,3,6,5,2,2,1,3,4,3,8,2,Classic,Animator
5,4,5,6,3,5,5,4,7,6,7,2,3,8,2,3,4,2,4,Minimalist,Fashion Designer
4,8,8,5,2,3,4,3,2,9,9,8,4,1,1,1,5,3,5,Classic,Branding & Identity Designer
7,7,3,3,1,8,3,4,3,5,5,3,7,1,1,3,3,5,8,Realistic,Web Designer
4,5,4,5,4,4,3,1,5,6,5,9,3,2,1,3,4,4,6,Realistic,Art Director
6,4,8,5,2,4,3,4,7,4,9,3,1,3,1,2,7,3,10,Minimalist,Illustration Artist
8,3,4,6,5,6,2,4,4,3,4,5,4,1,8,4,5,5,8,Modern,Interior Designer
4,5,3,7,1,4,9,1,4,3,5,3,3,3,3,1,3,8,10,Realistic,Motion Graphics Designer
5,7,4,3,3,8,5,3,2,6,3,5,8,1,3,4,3,2,10,Abstract,Web Designer
6,5,8,5,3,2,4,1,7,5,7,3,2,1,1,4,8,5,4,Classic,Illustration Artist
4,3,3,6,4,5,2,2,4,5,4,6,3,3,1,1,4,4,9,Classic,Packaging Designer
4,4,6,5,5,3,4,3,4,5,4,7,3,3,1,4,5,4,9,Abstract,Art Director
4,9,7,3,2,4,4,5,2,9,9,8,1,3,3,1,3,4,9,Realistic,Branding & Identity Designer
6,5,5,3,2,5,2,1,2,6,3,3,4,1,9,1,5,2,7,Abstract,Interior Designer
4,4,7,6,1,8,4,3,3,4,5,6,7,2,1,1,4,4,1,Abstract,UX/UI Designer
7,8,9,5,1,4,5,2,4,9,8,7,1,3,3,3,5,2,10,Abstract,Branding & Identity Designer
6,5,6,7,2,2,9,4,5,4,6,5,4,1,2,2,3,5,10,Futuristic,Video Editor
7,5,7,3,3,5,4,4,8,5,7,6,2,8,3,4,5,5,8,Minimalist,Fashion Designer
8,5,7,6,9,3,2,9,5,3,4,4,2,2,1,4,4,2,4,Modern,Game Designer
4,3,7,5,4,4,3,1,4,6,4,5,1,3,1,8,5,2,1,Realistic,Product Designer
4,4,7,5,1,5,5,3,9,3,9,6,1,7,1,4,3,5,9,Futuristic,Fashion Designer
4,7,7,6,1,4,2,5,4,6,5,3,3,3,7,4,4,5,5,Abstract,Interior Designer
5,6,3,4,2,2,2,3,4,4,5,3,2,3,2,9,4,4,6,Minimalist,Product Designer
4,7,3,5,2,9,3,4,5,3,5,3,7,1,2,2,3,4,3,Realistic,UX/UI Designer
8,3,7,2,8,5,5,3,8,4,6,5,1,1,1,1,7,2,9,Classic,Concept Artist
9,6,8,4,5,6,4,5,7,6,7,2,3,2,1,4,8,3,5,Cartoon,Illustration Artist
8,7,7,3,4,2,4,4,2,6,3,5,3,1,7,3,4,5,6,Cartoon,Interior Designer
7,8,8,5,1,4,3,1,3,8,9,9,1,3,3,3,3,2,3,Cartoon,Branding & Identity Designer
7,9,7,5,2,7,2,3,3,3,3,6,9,2,3,2,5,3,6,Modern,Web Designer
8,5,3,2,3,7,2,5,5,5,6,2,7,1,3,2,4,3,8,Abstract,UX/UI Designer
4,5,7,2,8,5,2,8,4,3,5,5,4,1,1,1,5,4,2,Classic,Game Designer
8,3,6,6,5,8,5,4,4,3,6,4,7,1,1,2,5,5,9,Cartoon,UX/UI Designer
8,4,3,3,2,4,5,4,9,5,8,4,1,9,1,3,5,3,7,Classic,Fashion Designer
5,7,4,5,1,4,2,2,4,3,3,2,3,1,7,2,3,4,8,Realistic,Interior Designer
9,4,4,8,7,6,8,5,3,4,5,4,3,3,1,3,5,9,2,Futuristic,Animator
5,8,7,6,3,3,3,1,4,7,9,9,1,2,3,4,4,2,5,Modern,Branding & Identity Designer
8,3,7,3,1,5,4,3,5,5,3,8,2,3,3,2,4,2,9,Modern,Art Director
7,4,4,8,7,5,9,2,4,4,3,4,1,2,1,4,4,7,5,Futuristic,Animator
9,5,4,7,8,4,7,4,2,3,3,2,4,3,3,2,4,7,9,Cartoon,Animator
8,6,5,2,1,4,2,3,5,5,5,3,3,2,8,1,3,5,8,Futuristic,Interior Designer
4,9,7,4,1,6,3,5,2,9,8,4,1,3,2,3,3,4,10,Futuristic,Graphic Designer
6,6,5,6,5,8,2,5,2,3,6,6,9,1,1,1,3,2,5,Modern,UX/UI Designer
7,5,3,9,8,2,9,1,5,4,4,5,4,1,3,3,4,9,10,Realistic,Animator
6,5,7,9,7,4,8,2,2,4,4,5,1,3,1,3,5,8,2,Abstract,Animator
4,7,7,5,8,4,5,7,4,6,6,3,2,2,2,4,5,4,1,Classic,Game Designer
7,5,5,9,5,4,9,4,3,6,5,5,1,1,1,1,4,2,6,Realistic,Video Editor
7,3,3,3,5,5,4,3,2,3,4,5,4,1,7,1,4,5,2,Realistic,Interior Designer
6,9,6,2,5,8,4,1,2,3,6,3,9,2,3,1,4,3,9,Minimalist,Web Designer
7,5,5,9,5,6,7,4,2,4,4,5,4,1,3,2,4,7,3,Abstract,Motion Graphics Designer
6,7,5,3,2,3,5,4,5,6,6,7,4,3,1,4,5,2,2,Modern,Art Director
4,6,3,7,2,2,7,2,5,5,3,2,4,2,3,3,3,8,4,Abstract,Motion Graphics Designer
4,6,5,4,5,4,3,5,5,5,4,8,1,2,1,1,3,5,8,Realistic,Art Director
7,7,7,3,5,5,4,2,4,3,4,5,2,3,3,9,3,5,7,Modern,Product Designer
7,3,3,2,4,8,3,5,2,3,6,6,7,1,3,2,4,4,4,Modern,UX/UI Designer
7,6,5,3,5,5,2,1,3,3,3,9,2,3,1,1,5,4,5,Abstract,Art Director
5,3,5,2,2,2,4,3,2,6,6,5,3,3,2,8,5,3,1,Modern,Product Designer
7,6,3,8,7,6,9,5,4,4,5,4,1,2,3,2,4,8,3,Abstract,Animator
4,3,5,5,2,2,4,3,5,6,3,9,3,1,1,4,5,4,4,Modern,Art Director
9,7,8,4,1,6,3,4,8,3,9,5,1,1,1,3,7,2,9,Modern,Illustration Artist
5,7,5,3,7,5,2,8,4,4,6,5,4,3,3,4,3,5,3,Futuristic,Game Designer
7,7,5,5,1,6,5,2,4,6,3,6,2,3,2,2,4,5,1,Modern,Packaging Designer
8,7,9,2,4,4,4,3,3,9,9,6,2,1,2,1,3,5,4,Futuristic,Graphic Designer
6,9,4,3,4,7,5,3,4,3,3,5,9,1,1,4,5,3,10,Minimalist,Web Designer
6,3,4,4,5,8,4,4,3,3,4,3,8,1,2,4,5,3,2,Minimalist,UX/UI Designer
7,6,6,3,5,4,3,1,4,6,6,8,1,1,3,1,5,4,5,Futuristic,Art Director
6,6,6,6,5,4,5,3,3,4,6,3,2,1,3,7,3,5,10,Realistic,Product Designer
4,5,4,4,5,2,3,4,4,5,4,7,3,2,3,1,5,3,7,Abstract,Art Director
8,7,7,2,3,4,4,5,4,9,7,7,3,1,3,3,5,4,3,Modern,Branding & Identity Designer
9,7,3,6,9,4,3,1,7,4,4,5,1,1,2,3,9,4,7,Modern,Concept Artist
7,3,7,2,3,2,4,2,3,5,3,7,4,1,3,4,3,4,5,Minimalist,Art Director
5,7,7,6,3,4,3,1,8,3,7,4,1,7,2,2,3,4,4,Classic,Fashion Designer
6,4,4,5,1,5,5,3,3,6,4,6,1,2,8,4,5,5,4,Realistic,Interior Designer
4,6,6,6,1,4,4,3,3,3,4,8,3,1,2,4,3,3,3,Realistic,Art Director
7,6,3,5,2,6,4,1,8,6,7,6,1,8,2,3,3,3,5,Abstract,Fashion Designer
8,7,8,6,1,2,4,1,4,8,8,7,4,3,2,1,3,4,8,Futuristic,Branding & Identity Designer
6,7,6,3,5,4,2,1,4,5,5,8,2,3,1,4,5,3,4,Cartoon,Art Director
5,6,5,7,4,6,8,2,5,6,4,2,2,2,1,2,4,9,10,Cartoon,Motion Graphics Designer
6,4,4,5,3,8,3,3,2,4,4,5,7,1,3,4,4,4,6,Classic,UX/UI Designer
4,9,8,6,4,2,3,4,5,7,7,5,3,2,3,1,4,2,9,Abstract,Graphic Designer
5,3,4,2,1,5,5,5,8,5,7,2,1,8,1,4,3,2,7,Cartoon,Fashion Designer
5,5,7,6,3,2,2,2,7,5,7,5,1,7,3,4,5,4,1,Cartoon,Fashion Designer
5,6,3,9,5,4,9,4,3,5,6,6,4,1,2,4,4,3,9,Realistic,Video Editor
5,6,5,2,3,3,4,1,3,6,5,5,1,3,1,9,4,5,2,Abstract,Product Designer
5,4,5,6,8,3,5,8,3,3,4,2,2,2,2,2,4,4,6,Futuristic,Game Designer
6,4,9,2,1,5,4,4,8,5,9,5,3,1,2,3,7,2,1,Realistic,Illustration Artist
6,4,9,2,4,3,3,5,9,4,8,2,2,3,2,2,7,4,10,Futuristic,Illustration Artist
6,5,4,6,9,4,4,9,3,6,5,4,1,2,2,3,3,4,10,Cartoon,Game Designer
6,4,5,7,7,6,9,5,5,6,6,3,3,1,3,3,4,8,2,Futuristic,Animator
6,6,5,3,9,2,5,8,2,6,4,5,4,3,1,4,5,5,6,Modern,Game Designer
5,4,7,6,4,3,5,1,4,5,6,3,2,2,9,1,5,5,8,Minimalist,Interior Designer
8,7,7,4,7,5,5,7,4,6,5,5,3,3,3,3,3,5,6,Abstract,Game Designer
6,6,4,5,4,4,5,2,9,3,7,6,1,9,2,3,3,4,7,Minimalist,Fashion Designer
4,4,7,8,5,6,9,5,4,6,3,5,4,3,2,4,3,8,2,Cartoon,Motion Graphics Designer
6,7,3,9,3,3,7,5,4,5,6,4,1,1,2,4,5,3,5,Abstract,Video Editor
5,4,5,6,3,8,4,5,5,3,4,5,8,3,1,4,3,4,9,Minimalist,UX/UI Designer
7,4,5,9,4,6,9,4,5,3,4,6,4,1,1,4,4,7,5,Cartoon,Motion Graphics Designer
6,9,6,5,5,7,3,4,2,3,4,6,8,2,3,1,5,2,2,Modern,Web Designer
7,4,7,5,7,6,2,3,8,5,5,5,4,2,3,3,9,2,8,Abstract,Concept Artist
7,8,5,2,2,8,5,3,4,5,6,3,9,3,3,4,3,4,10,Abstract,Web Designer
5,7,7,5,3,9,3,2,3,4,3,6,7,2,2,2,5,2,3,Realistic,Web Designer
4,4,3,3,5,6,5,4,5,6,6,4,3,2,2,4,3,5,4,Modern,Packaging Designer
8,6,8,3,5,5,4,4,9,5,7,4,4,3,3,3,8,2,2,Realistic,Illustration Artist
5,7,4,9,5,5,9,2,2,3,4,3,3,1,1,1,4,4,10,Futuristic,Video Editor
8,5,7,8,7,5,9,1,4,6,5,6,4,2,1,1,4,8,1,Cartoon,Animator
7,5,3,5,2,2,5,2,4,5,3,4,4,3,7,2,4,3,1,Cartoon,Interior Designer
6,4,6,4,5,4,2,2,9,3,8,4,1,7,2,3,5,5,3,Realistic,Fashion Designer
4,6,6,4,1,2,3,1,8,6,8,5,2,7,3,4,3,4,4,Minimalist,Fashion Designer
7,7,5,4,2,7,3,2,5,3,6,4,8,1,3,1,4,2,8,Cartoon,UX/UI Designer
6,7,5,3,5,6,4,2,4,5,5,6,2,2,9,3,5,2,4,Cartoon,Interior Designer
7,5,7,9,3,5,9,3,3,4,6,6,3,2,2,3,5,5,5,Abstract,Video Editor
4,3,4,6,3,2,3,5,3,4,6,2,4,1,2,9,3,5,2,Realistic,Product Designer
7,9,8,2,2,5,3,4,3,7,9,5,4,1,2,4,5,5,3,Minimalist,Graphic Designer
4,4,5,9,1,3,9,4,2,3,3,6,1,3,2,1,4,7,6,Cartoon,Motion Graphics Designer
5,3,7,2,1,4,3,1,5,5,3,6,3,3,1,7,4,5,10,Futuristic,Product Designer
6,6,7,4,3,2,5,3,2,6,4,8,1,3,1,1,4,4,4,Classic,Art Director
6,3,6,2,1,5,5,3,8,4,9,6,1,8,2,3,5,4,7,Realistic,Fashion Designer
6,7,7,2,3,4,3,1,2,4,3,2,3,2,9,3,3,3,4,Minimalist,Interior Designer
7,8,7,4,1,8,5,5,3,3,3,4,7,3,2,2,5,5,5,Minimalist,Web Designer
7,6,4,4,8,3,3,4,9,5,3,3,3,1,1,2,7,4,9,Abstract,Concept Artist
8,7,3,2,1,5,3,1,4,4,3,2,4,2,1,4,3,3,3,Realistic,Packaging Designer
6,7,9,3,4,4,3,2,7,5,7,5,3,1,1,1,9,2,2,Realistic,Illustration Artist
7,9,8,2,4,6,3,5,4,8,9,9,3,1,1,2,4,5,1,Cartoon,Branding & Identity Designer
4,6,7,6,9,5,4,9,5,3,6,4,3,2,2,1,3,2,1,Minimalist,Game Designer
6,6,4,2,8,2,3,5,8,3,5,5,4,3,1,4,7,4,10,Minimalist,Concept Artist
4,6,6,2,2,5,4,5,3,4,3,6,4,1,1,9,4,4,1,Modern,Product Designer
6,5,4,8,4,6,7,3,3,3,5,6,4,2,2,3,4,2,9,Realistic,Video Editor
7,7,3,5,4,3,4,5,5,3,6,3,3,1,7,2,5,3,4,Realistic,Interior Designer
5,5,3,6,1,9,4,3,5,4,3,2,9,1,2,1,3,4,9,Cartoon,UX/UI Designer
5,6,6,5,3,4,5,3,3,3,4,3,1,3,8,2,3,4,7,Cartoon,Interior Designer
4,7,7,6,4,4,4,2,5,8,8,9,3,3,2,1,3,2,5,Modern,Branding & Identity Designer
8,5,4,7,1,6,9,1,3,5,5,5,4,3,1,1,3,7,8,Futuristic,Motion Graphics Designer
5,3,4,4,3,2,4,5,3,6,6,5,3,2,1,7,3,5,8,Classic,Product Designer
6,4,3,3,1,5,2,2,5,3,4,3,1,2,3,9,5,5,10,Minimalist,Product Designer
9,4,3,8,8,6,9,2,2,4,6,2,4,2,3,2,5,7,6,Minimalist,Animator
